date,unit,value
2020-05-12,count/min,95.83
2020-05-13,count/min,79.31
2020-05-14,count/min,80.63
2020-05-15,count/min,85.66
2020-05-16,count/min,82.81
2020-05-19,count/min,115.0
2020-05-20,count/min,79.02
2020-05-21,count/min,74.01
2020-05-22,count/min,76.97
2020-05-23,count/min,79.57
2020-05-24,count/min,70.07
2020-05-25,count/min,77.45
2020-05-26,count/min,75.01
2020-05-27,count/min,90.25
2020-05-28,count/min,111.44
2020-05-29,count/min,93.62
2020-05-31,count/min,80.79
2020-06-01,count/min,80.53
2020-06-02,count/min,94.92
2020-06-03,count/min,109.51
2020-06-04,count/min,76.18
2020-06-05,count/min,88.48
2020-06-06,count/min,88.35
2020-06-07,count/min,100.98
2020-06-08,count/min,71.64
2020-06-09,count/min,114.25
2020-06-10,count/min,81.29
2020-06-11,count/min,108.3
2020-06-12,count/min,74.4
2020-06-13,count/min,82.33
2020-06-14,count/min,83.46
2020-06-15,count/min,80.11
2020-06-16,count/min,93.94
2020-06-17,count/min,82.61
2020-06-18,count/min,79.08
2020-06-19,count/min,89.23
2020-06-20,count/min,78.64
2020-06-21,count/min,79.04
2020-06-22,count/min,74.22
2020-06-23,count/min,86.07
2020-06-24,count/min,82.77
2020-06-25,count/min,81.54
2020-06-26,count/min,75.0
2020-06-27,count/min,67.57
2020-06-28,count/min,84.75
2020-06-29,count/min,95.93
2020-06-30,count/min,80.86
2020-07-01,count/min,79.71
2020-07-02,count/min,70.99
2020-07-03,count/min,67.12
2020-07-04,count/min,74.6
2020-07-05,count/min,58.53
2020-07-06,count/min,64.78
2020-07-07,count/min,78.33
2020-07-08,count/min,95.51
2020-07-09,count/min,91.13
2020-07-10,count/min,77.77
2020-07-11,count/min,82.41
2020-07-12,count/min,95.59
2020-07-14,count/min,92.73
2020-07-15,count/min,83.01
2020-07-16,count/min,90.93
2020-07-17,count/min,74.82
2020-07-18,count/min,67.34
2020-07-20,count/min,88.92
2020-07-21,count/min,80.93
2020-07-22,count/min,81.99
2020-07-23,count/min,72.65
2020-07-24,count/min,82.59
2020-07-25,count/min,84.98
2020-07-26,count/min,78.84
2020-07-27,count/min,63.2
2020-07-28,count/min,87.42
2020-07-29,count/min,93.05
2020-07-30,count/min,82.56
2020-07-31,count/min,68.28
2020-08-01,count/min,85.49
2020-08-03,count/min,86.31
2020-08-04,count/min,84.35
2020-08-06,count/min,89.18
2020-08-10,count/min,98.56
2020-08-11,count/min,136.14
2020-08-12,count/min,98.55
2020-08-13,count/min,80.82
2020-08-14,count/min,92.4
2020-08-15,count/min,97.81
2020-08-16,count/min,77.64
2020-08-17,count/min,80.95
2020-08-18,count/min,69.19
2020-08-19,count/min,92.6
2020-08-21,count/min,100.4
2020-08-22,count/min,81.68
2020-08-24,count/min,93.79
2020-08-25,count/min,105.66
2020-08-26,count/min,95.6
2020-08-27,count/min,101.5
2020-08-28,count/min,84.98
2020-08-29,count/min,78.79
2020-08-31,count/min,89.07
2020-09-01,count/min,81.59
2020-09-02,count/min,85.52
2020-09-04,count/min,79.71
2020-09-05,count/min,112.14
2020-09-07,count/min,110.08
2020-09-11,count/min,86.0
2020-09-12,count/min,95.77
2020-09-13,count/min,85.86
2020-09-14,count/min,84.13
2020-09-15,count/min,80.32
2020-09-16,count/min,74.64
2020-09-17,count/min,78.12
2020-09-18,count/min,80.24
2020-09-19,count/min,77.11
2020-09-20,count/min,96.29
2020-09-21,count/min,83.75
2020-09-22,count/min,92.14
2020-09-23,count/min,78.28
2020-09-24,count/min,90.31
2020-09-25,count/min,100.69
2020-09-26,count/min,82.89
2020-09-27,count/min,87.99
2020-09-28,count/min,77.77
2020-09-29,count/min,80.48
2020-09-30,count/min,84.0
2020-10-01,count/min,78.16
2020-10-02,count/min,70.35
2020-10-03,count/min,86.3
2020-10-04,count/min,77.65
2020-10-05,count/min,74.63
2020-10-06,count/min,70.82
2020-10-07,count/min,80.32
2020-10-08,count/min,79.62
2020-10-09,count/min,74.15
2020-10-10,count/min,87.65
2020-10-11,count/min,68.09
2020-10-12,count/min,81.2
2020-10-13,count/min,72.9
2020-10-14,count/min,71.53
2020-10-15,count/min,88.11
2020-10-16,count/min,69.38
2020-10-17,count/min,94.0
2020-10-19,count/min,89.51
2020-10-20,count/min,72.67
2020-10-21,count/min,90.01
2020-10-22,count/min,67.86
2020-10-23,count/min,62.32
2020-10-24,count/min,69.99
2020-10-25,count/min,99.75
2020-10-26,count/min,80.11
2020-10-27,count/min,77.04
2020-10-28,count/min,71.53
2020-10-29,count/min,68.56
2020-10-30,count/min,98.48
2020-10-31,count/min,80.41
2020-11-01,count/min,99.5
2020-11-02,count/min,96.35
2020-11-03,count/min,67.52
2020-11-04,count/min,82.95
2020-11-05,count/min,75.62
2020-11-06,count/min,83.74
2020-11-07,count/min,69.2
2020-11-08,count/min,66.49
2020-11-09,count/min,72.16
2020-11-10,count/min,68.24
2020-11-11,count/min,87.07
2020-11-12,count/min,71.54
2020-11-13,count/min,79.39
2020-11-15,count/min,83.04
2020-11-17,count/min,72.92
2020-11-18,count/min,75.22
2020-11-19,count/min,80.48
2020-11-20,count/min,76.53
2020-11-21,count/min,84.81
2020-11-22,count/min,71.37
2020-11-23,count/min,71.7
2020-11-24,count/min,78.34
2020-11-25,count/min,88.13
2020-11-26,count/min,81.26
2020-11-27,count/min,82.22
2020-11-28,count/min,79.76
2020-11-29,count/min,87.15
2020-11-30,count/min,82.52
