date,unit,value
2021-10-18,min,72
2021-10-19,min,12
2021-10-20,min,4
2021-10-21,min,37
2021-10-22,min,1
2021-10-23,min,65
2021-10-24,min,2
2021-10-25,min,2
2021-10-26,min,5
2021-10-27,min,1
2021-11-11,min,65
2021-11-12,min,60
2021-11-13,min,63
2021-11-14,min,56
2021-11-15,min,40
2021-11-16,min,89
2021-11-17,min,2
2021-11-18,min,65
2021-11-19,min,7
2021-11-20,min,13
2021-11-21,min,43
2021-11-22,min,62
2021-11-23,min,47
2021-11-25,min,3
2021-11-26,min,102
2021-11-27,min,8
2021-11-28,min,46
2021-11-29,min,12
2021-11-30,min,14
2021-12-01,min,15
2021-12-02,min,96
2021-12-04,min,135
2021-12-07,min,89
2021-12-08,min,76
2021-12-09,min,95
2021-12-10,min,25
2021-12-11,min,42
2021-12-12,min,63
2021-12-13,min,4
2021-12-14,min,5
2021-12-15,min,50
2021-12-16,min,42
2021-12-17,min,113
2021-12-18,min,3
2021-12-19,min,6
2021-12-20,min,60
2021-12-21,min,5
2021-12-23,min,3
2021-12-24,min,106
2021-12-25,min,1
2021-12-26,min,1
2021-12-30,min,53
2021-12-31,min,1
2022-01-03,min,80
2022-01-04,min,52
2022-01-05,min,7
2022-01-06,min,62
2022-01-07,min,26
2022-01-08,min,126
2022-01-09,min,73
2022-01-10,min,91
2022-01-11,min,76
2022-01-12,min,1
2022-01-13,min,5
2022-01-14,min,43
2022-01-15,min,63
2022-01-16,min,73
2022-01-17,min,74
2022-01-19,min,23
2022-01-20,min,28
2022-01-21,min,1
2022-01-22,min,89
2022-01-23,min,39
2022-01-24,min,25
2022-01-25,min,97
2022-01-26,min,59
2022-01-27,min,60
2022-01-28,min,54
2022-01-29,min,49
2022-01-30,min,1
2022-01-31,min,7
2022-02-01,min,1
2022-02-03,min,3
2022-02-04,min,1
2022-02-05,min,46
2022-02-06,min,49
2022-02-07,min,28
2022-02-08,min,6
2022-02-09,min,13
2022-02-10,min,2
2022-02-11,min,34
2022-02-12,min,115
2022-02-13,min,46
2022-02-14,min,60
2022-02-15,min,34
2022-02-16,min,12
2022-02-17,min,169
2022-02-18,min,27
2022-02-19,min,85
2022-02-20,min,105
2022-02-21,min,66
2022-02-22,min,18
2022-02-23,min,23
2022-02-24,min,70
2022-02-25,min,128
2022-02-26,min,92
2022-02-27,min,27
2022-02-28,min,133
2022-03-01,min,97
2022-03-02,min,19
2022-03-03,min,1
2022-03-04,min,7
2022-03-06,min,18
2022-03-07,min,57
2022-03-08,min,75
2022-03-09,min,76
2022-03-10,min,51
2022-03-11,min,56
2022-03-12,min,5
2022-03-22,min,29
2022-03-28,min,105
2022-03-29,min,39
2022-03-30,min,134
2022-03-31,min,29
2022-04-01,min,5
2022-04-02,min,146
2022-04-03,min,102
2022-04-04,min,128
2022-04-05,min,53
2022-04-07,min,92
2022-04-08,min,67
2022-04-09,min,10
2022-04-10,min,84
2022-04-11,min,42
2022-04-12,min,131
2022-04-13,min,169
2022-04-14,min,162
2022-04-15,min,54
2022-04-16,min,1
2022-04-17,min,92
2022-04-18,min,59
2022-04-19,min,51
2022-04-20,min,34
2022-04-21,min,37
2022-04-22,min,77
2022-04-25,min,19
2022-04-26,min,48
2022-04-28,min,98
2022-04-29,min,3
2022-04-30,min,108
2022-05-01,min,16
2022-05-02,min,91
2022-05-03,min,23
2022-05-04,min,92
2022-05-05,min,58
2022-05-07,min,184
2022-05-08,min,65
2022-05-09,min,2
2022-05-10,min,13
2022-05-11,min,7
2022-05-12,min,200
2022-05-13,min,68
2022-05-14,min,35
2022-05-16,min,14
2022-05-17,min,43
2022-05-18,min,38
2022-05-19,min,64
2022-05-20,min,4
2022-05-22,min,4
2022-05-27,min,104
2022-05-28,min,24
2022-05-29,min,79
2022-05-30,min,21
2022-05-31,min,70
2022-06-01,min,66
2022-06-02,min,76
2022-06-03,min,69
2022-06-04,min,91
2022-06-05,min,22
2022-06-07,min,114
2022-06-08,min,97
2022-06-09,min,120
2022-06-10,min,95
2022-06-11,min,1
2022-06-12,min,127
2022-06-13,min,15
2022-06-14,min,103
2022-06-15,min,95
2022-06-17,min,111
2022-06-18,min,130
2022-06-19,min,117
2022-06-20,min,103
2022-06-21,min,98
2022-06-22,min,117
2022-06-23,min,63
2022-06-24,min,74
2022-06-25,min,104
2022-06-26,min,11
2022-06-27,min,107
2022-06-28,min,19
2022-06-29,min,55
2022-06-30,min,13
2022-07-01,min,135
2022-07-02,min,44
2022-07-06,min,80
2022-07-07,min,51
2022-07-09,min,122
2022-07-10,min,96
2022-07-11,min,2
2022-07-12,min,54
2022-07-13,min,169
2022-07-14,min,100
2022-07-15,min,13
2022-07-18,min,141
2022-07-19,min,15
2022-07-20,min,94
2022-07-21,min,7
2022-07-22,min,72
2022-07-23,min,69
2022-07-24,min,87
2022-07-25,min,125
2022-07-26,min,17
2022-07-27,min,128
2022-07-28,min,64
2022-07-29,min,146
2022-07-30,min,41
2022-07-31,min,152
2022-08-01,min,70
2022-08-02,min,113
2022-08-03,min,17
2022-08-04,min,76
2022-08-05,min,127
2022-08-07,min,77
2022-08-08,min,51
2022-08-09,min,88
2022-08-10,min,57
2022-08-11,min,6
2022-08-12,min,88
2022-08-13,min,55
2022-08-14,min,64
2022-08-15,min,242
2022-08-16,min,25
2022-08-17,min,93
2022-08-18,min,90
2022-08-19,min,27
2022-08-20,min,127
2022-08-21,min,80
2022-08-22,min,12
2022-08-29,min,70
2022-08-30,min,113
2022-08-31,min,92
2022-09-01,min,26
2022-09-02,min,101
2022-09-03,min,25
2022-09-04,min,69
2022-09-05,min,113
2022-09-06,min,108
2022-09-07,min,78
2022-09-08,min,27
2022-09-09,min,1
2022-09-10,min,112
2022-09-11,min,83
2022-09-13,min,79
2022-09-14,min,147
2022-09-15,min,73
2022-09-16,min,67
2022-09-19,min,83
2022-09-20,min,1
2022-09-21,min,78
2022-09-23,min,62
2022-09-24,min,120
2022-09-25,min,13
2022-09-26,min,77
2022-09-27,min,56
2022-09-28,min,53
2022-09-29,min,65
2022-09-30,min,33
2022-10-02,min,91
2022-10-03,min,28
2022-10-04,min,60
2022-10-05,min,34
2022-10-06,min,74
2022-10-07,min,56
2022-10-08,min,1
2022-10-09,min,1
2022-10-10,min,18
2022-10-11,min,40
2022-10-12,min,1
2022-10-13,min,44
2022-10-14,min,31
2022-10-15,min,79
2022-10-16,min,28
2022-10-17,min,60
2022-10-18,min,10
2022-10-19,min,79
2022-10-20,min,67
2022-10-21,min,1
2022-10-22,min,91
2022-10-23,min,49
2022-10-25,min,1
2022-10-26,min,92
2022-10-27,min,73
2022-10-28,min,117
2022-10-29,min,62
2022-10-30,min,72
2022-10-31,min,109
2022-11-01,min,11
2022-11-02,min,20
2022-11-03,min,45
2022-11-04,min,50
2022-11-05,min,82
2022-11-06,min,57
2022-11-07,min,74
2022-11-09,min,103
2022-11-10,min,6
2022-11-11,min,7
2022-11-12,min,1
2022-11-13,min,61
2022-11-14,min,61
2022-11-15,min,6
2022-11-16,min,65
2022-11-17,min,5
2022-11-18,min,130
2022-11-19,min,58
2022-11-20,min,97
2022-11-22,min,1
2022-11-23,min,1
2022-11-26,min,70
2022-11-27,min,123
2022-11-28,min,63
2022-11-29,min,73
2022-11-30,min,77
2022-12-01,min,45
2022-12-02,min,79
2022-12-03,min,75
2022-12-04,min,95
2022-12-05,min,66
2022-12-07,min,59
2022-12-08,min,2
2022-12-09,min,1
2022-12-11,min,86
2022-12-12,min,9
2022-12-13,min,71
2022-12-14,min,9
2022-12-15,min,2
2022-12-16,min,99
2022-12-17,min,74
2022-12-18,min,17
2022-12-19,min,83
2022-12-20,min,99
2022-12-21,min,3
2022-12-22,min,3
2022-12-23,min,113
2022-12-24,min,121
2022-12-26,min,56
2022-12-27,min,76
2022-12-28,min,75
2022-12-30,min,1
2022-12-31,min,77
2023-01-01,min,114
2023-01-02,min,115
2023-01-03,min,2
2023-01-04,min,5
2023-01-05,min,51
2023-01-06,min,27
2023-01-08,min,107
2023-01-09,min,52
2023-01-10,min,1
2023-01-11,min,89
2023-01-13,min,62
2023-01-14,min,68
2023-01-15,min,77
2023-01-16,min,73
2023-01-17,min,4
2023-01-18,min,68
2023-01-19,min,55
2023-01-20,min,59
2023-01-21,min,52
2023-01-22,min,52
2023-01-23,min,78
2023-01-24,min,69
2023-01-25,min,80
2023-01-26,min,73
2023-01-27,min,2
2023-01-28,min,118
2023-01-29,min,73
2023-01-30,min,80
2023-01-31,min,1
2023-02-01,min,127
2023-02-02,min,2
2023-02-03,min,80
2023-02-06,min,115
2023-02-07,min,86
2023-02-08,min,96
2023-02-12,min,20
2023-02-13,min,6
2023-02-14,min,1
2023-02-15,min,93
2023-02-16,min,1
2023-02-17,min,70
2023-02-18,min,60
2023-02-20,min,80
2023-02-21,min,97
2023-02-22,min,75
2023-02-23,min,2
2023-02-24,min,1
2023-02-26,min,88
2023-02-27,min,3
2023-02-28,min,100
2023-03-01,min,55
2023-03-03,min,76
2023-03-06,min,68
