date,unit,value
2021-10-11,in,26.91
2021-10-14,in,26.02
2021-10-15,in,26.01
2021-10-16,in,26.38
2021-10-17,in,29.2
2021-10-18,in,27.78
2021-10-19,in,25.37
2021-10-20,in,25.57
2021-10-21,in,27.12
2021-10-22,in,25.33
2021-10-23,in,27.11
2021-10-24,in,25.72
2021-10-25,in,27.13
2021-10-26,in,26.05
2021-10-27,in,26.72
2021-10-28,in,28.33
2021-10-29,in,27.32
2021-10-30,in,28.05
2021-10-31,in,27.67
2021-11-01,in,27.12
2021-11-02,in,25.97
2021-11-03,in,30.17
2021-11-04,in,25.59
2021-11-05,in,28.39
2021-11-06,in,27.17
2021-11-07,in,24.21
2021-11-08,in,27.25
2021-11-09,in,27.17
2021-11-10,in,27.99
2021-11-11,in,25.79
2021-11-12,in,27.93
2021-11-13,in,28.9
2021-11-14,in,31.29
2021-11-15,in,26.55
2021-11-16,in,25.39
2021-11-17,in,26.11
2021-11-18,in,27.88
2021-11-19,in,27.1
2021-11-20,in,27.2
2021-11-21,in,24.25
2021-11-22,in,26.1
2021-11-23,in,27.65
2021-11-24,in,22.44
2021-11-25,in,24.8
2021-11-26,in,27.01
2021-11-27,in,23.17
2021-11-28,in,25.98
2021-11-29,in,29.05
2021-11-30,in,25.59
2021-12-01,in,23.65
2021-12-02,in,27.8
2021-12-03,in,24.36
2021-12-04,in,25.78
2021-12-05,in,24.92
2021-12-06,in,26.3
2021-12-07,in,26.77
2021-12-08,in,26.49
2021-12-09,in,29.16
2021-12-10,in,25.46
2021-12-11,in,27.83
2021-12-12,in,29.31
2021-12-13,in,21.52
2021-12-14,in,27.69
2021-12-15,in,28.35
2021-12-16,in,28.53
2021-12-17,in,25.04
2021-12-18,in,25.27
2021-12-19,in,25.2
2021-12-20,in,27.54
2021-12-21,in,24.8
2021-12-22,in,25.13
2021-12-23,in,21.85
2021-12-24,in,31.47
2021-12-25,in,24.96
2021-12-26,in,22.91
2021-12-27,in,30.18
2021-12-28,in,26.45
2021-12-29,in,16.93
2021-12-30,in,27.72
2021-12-31,in,25.42
2022-01-01,in,28.79
2022-01-02,in,28.98
2022-01-03,in,28.35
2022-01-04,in,30.51
2022-01-05,in,26.25
2022-01-06,in,29.01
2022-01-07,in,29.35
2022-01-08,in,28.53
2022-01-09,in,29.6
2022-01-10,in,29.71
2022-01-11,in,27.28
2022-01-12,in,28.84
2022-01-13,in,25.13
2022-01-14,in,26.66
2022-01-15,in,28.49
2022-01-16,in,27.46
2022-01-17,in,29.8
2022-01-18,in,21.6
2022-01-19,in,27.76
2022-01-20,in,29.77
2022-01-21,in,26.38
2022-01-22,in,29.12
2022-01-23,in,28.6
2022-01-24,in,25.13
2022-01-25,in,27.92
2022-01-26,in,26.97
2022-01-27,in,27.26
2022-01-28,in,25.72
2022-01-29,in,24.72
2022-01-30,in,26.38
2022-01-31,in,25.24
2022-02-01,in,28.15
2022-02-02,in,22.05
2022-02-03,in,27.09
2022-02-05,in,27.97
2022-02-06,in,28.41
2022-02-07,in,25.55
2022-02-08,in,25.66
2022-02-09,in,27.12
2022-02-10,in,24.37
2022-02-11,in,27.28
2022-02-12,in,25.83
2022-02-13,in,26.16
2022-02-14,in,26.59
2022-02-15,in,26.64
2022-02-16,in,26.41
2022-02-17,in,26.66
2022-02-18,in,26.51
2022-02-19,in,29.57
2022-02-20,in,28.17
2022-02-21,in,29.48
2022-02-22,in,26.56
2022-02-23,in,27.17
2022-02-24,in,28.53
2022-02-25,in,28.81
2022-02-26,in,29.65
2022-02-27,in,28.54
2022-02-28,in,26.02
2022-03-01,in,27.76
2022-03-02,in,27.22
2022-03-03,in,26.42
2022-03-04,in,29.29
2022-03-05,in,25.85
2022-03-06,in,25.45
2022-03-07,in,28.91
2022-03-08,in,29.72
2022-03-09,in,26.23
2022-03-10,in,29.76
2022-03-11,in,25.91
2022-03-12,in,28.69
2022-03-13,in,27.13
2022-03-14,in,24.6
2022-03-15,in,26.94
2022-03-16,in,28.17
2022-03-17,in,25.26
2022-03-18,in,26.27
2022-03-19,in,23.4
2022-03-20,in,24.41
2022-03-21,in,26.25
2022-03-22,in,25.05
2022-03-23,in,25.2
2022-03-24,in,23.8
2022-03-25,in,26.58
2022-03-26,in,26.41
2022-03-27,in,26.6
2022-03-28,in,20.87
2022-03-29,in,24.78
2022-03-30,in,26.15
2022-03-31,in,26.19
2022-04-01,in,26.12
2022-04-02,in,28.11
2022-04-03,in,26.54
2022-04-04,in,25.18
2022-04-05,in,25.3
2022-04-06,in,26.6
2022-04-07,in,27.4
2022-04-08,in,26.94
2022-04-09,in,25.31
2022-04-10,in,24.38
2022-04-11,in,24.54
2022-04-12,in,25.75
2022-04-13,in,28.78
2022-04-14,in,25.06
2022-04-15,in,26.56
2022-04-16,in,17.72
2022-04-17,in,24.02
2022-04-18,in,25.01
2022-04-19,in,26.35
2022-04-20,in,25.55
2022-04-21,in,25.5
2022-04-22,in,24.95
2022-04-23,in,27.1
2022-04-24,in,25.66
2022-04-25,in,24.62
2022-04-26,in,25.98
2022-04-27,in,23.91
2022-04-28,in,23.03
2022-04-29,in,23.43
2022-04-30,in,24.45
2022-05-01,in,24.8
2022-05-02,in,24.97
2022-05-03,in,25.62
2022-05-04,in,25.82
2022-05-05,in,24.06
2022-05-06,in,25.5
2022-05-07,in,24.16
2022-05-08,in,25.79
2022-05-09,in,21.22
2022-05-10,in,24.06
2022-05-11,in,23.47
2022-05-12,in,23.8
2022-05-13,in,25.91
2022-05-14,in,28.15
2022-05-15,in,24.21
2022-05-16,in,25.59
2022-05-17,in,25.4
2022-05-18,in,27.03
2022-05-19,in,26.46
2022-05-20,in,28.37
2022-05-21,in,22.91
2022-05-22,in,23.36
2022-05-23,in,22.83
2022-05-24,in,23.35
2022-05-25,in,20.34
2022-05-26,in,23.07
2022-05-27,in,22.64
2022-05-28,in,25.96
2022-05-29,in,22.44
2022-05-30,in,26.29
2022-05-31,in,23.36
2022-06-01,in,22.01
2022-06-02,in,23.1
2022-06-03,in,24.67
2022-06-04,in,25.93
2022-06-05,in,24.31
2022-06-06,in,22.57
2022-06-07,in,24.34
2022-06-08,in,24.78
2022-06-09,in,24.77
2022-06-10,in,24.23
2022-06-11,in,24.15
2022-06-12,in,25.1
2022-06-13,in,25.0
2022-06-14,in,24.74
2022-06-15,in,24.14
2022-06-16,in,25.72
2022-06-17,in,24.27
2022-06-18,in,26.89
2022-06-19,in,23.17
2022-06-20,in,22.38
2022-06-21,in,23.67
2022-06-22,in,24.11
2022-06-23,in,25.45
2022-06-24,in,24.65
2022-06-25,in,22.04
2022-06-26,in,22.96
2022-06-27,in,26.14
2022-06-28,in,23.37
2022-06-29,in,23.44
2022-06-30,in,23.6
2022-07-01,in,23.43
2022-07-02,in,23.73
2022-07-03,in,25.71
2022-07-04,in,24.28
2022-07-05,in,22.15
2022-07-06,in,25.23
2022-07-07,in,26.52
2022-07-08,in,22.7
2022-07-09,in,23.35
2022-07-10,in,26.84
2022-07-11,in,25.7
2022-07-12,in,24.8
2022-07-13,in,25.2
2022-07-14,in,25.94
2022-07-15,in,23.23
2022-07-16,in,19.68
